entry_id,entry_date,debit,credit,description,entry_type
131,2025-06-14,6036.08,,Interest Receivable to Interest Income,InterestAccrual
132,2025-06-14,,6036.08,Interest Receivable to Interest Income,InterestAccrual
133,2025-06-04,9039.62,,Customer Account to Advisory Fee Income,FeeIncome
134,2025-06-04,,9039.62,Customer Account to Advisory Fee Income,FeeIncome
135,2025-06-12,15350.04,,Customer Account to Advisory Fee Income,FeeIncome
136,2025-06-12,,15350.04,Customer Account to Advisory Fee Income,FeeIncome
137,2025-06-07,14546.03,,Interest Receivable to Interest Income,InterestAccrual
138,2025-06-07,,14546.03,Interest Receivable to Interest Income,InterestAccrual
139,2025-06-08,13347.68,,Loan Loss Expense to Provision for Loan Losses,Provisioning
140,2025-06-08,,13347.68,Loan Loss Expense to Provision for Loan Losses,Provisioning
141,2025-06-04,9578.24,,Customer Account to Advisory Fee Income,FeeIncome
142,2025-06-04,,9578.24,Customer Account to Advisory Fee Income,FeeIncome
143,2025-06-01,2216.49,,Interest Receivable to Interest Income,InterestAccrual
144,2025-06-01,,2216.49,Interest Receivable to Interest Income,InterestAccrual
145,2025-06-10,11524.51,,Customer Account to Advisory Fee Income,FeeIncome
146,2025-06-10,,11524.51,Customer Account to Advisory Fee Income,FeeIncome
147,2025-06-12,1136.63,,Interest Receivable to Interest Income,InterestAccrual
148,2025-06-12,,1136.63,Interest Receivable to Interest Income,InterestAccrual
149,2025-06-02,2118.6,,Loan Loss Expense to Provision for Loan Losses,Provisioning
150,2025-06-02,,2118.6,Loan Loss Expense to Provision for Loan Losses,Provisioning
151,2025-06-02,17333.07,,Cash on Hand to Customer Deposit Account,CustomerTransaction
152,2025-06-02,,17333.07,Cash on Hand to Customer Deposit Account,CustomerTransaction
153,2025-06-11,5522.09,,Customer Account to Advisory Fee Income,FeeIncome
154,2025-06-11,,5522.09,Customer Account to Advisory Fee Income,FeeIncome
155,2025-06-03,5070.5,,Trading Securities to Settlement Payable,SecuritiesTrading
156,2025-06-03,,5070.5,Trading Securities to Settlement Payable,SecuritiesTrading
157,2025-06-10,18774.77,,Loan Loss Expense to Provision for Loan Losses,Provisioning
158,2025-06-10,,18774.77,Loan Loss Expense to Provision for Loan Losses,Provisioning
159,2025-06-13,9980.75,,Customer Account to Advisory Fee Income,FeeIncome
160,2025-06-13,,9980.75,Customer Account to Advisory Fee Income,FeeIncome
161,2025-06-04,16342.44,,Trading Securities to Settlement Payable,SecuritiesTrading
162,2025-06-04,,16342.44,Trading Securities to Settlement Payable,SecuritiesTrading
163,2025-06-07,2841.69,,Cash on Hand to Customer Deposit Account,CustomerTransaction
164,2025-06-07,,2841.69,Cash on Hand to Customer Deposit Account,CustomerTransaction
165,2025-06-08,9047.99,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
166,2025-06-08,,9047.99,Credit Card Receivable to Customer Loan Account,PaymentProcessing
167,2025-06-11,2029.25,,Loan Loss Expense to Provision for Loan Losses,Provisioning
168,2025-06-11,,2029.25,Loan Loss Expense to Provision for Loan Losses,Provisioning
169,2025-06-07,2869.94,,Loan Loss Expense to Provision for Loan Losses,Provisioning
170,2025-06-07,,2869.94,Loan Loss Expense to Provision for Loan Losses,Provisioning
171,2025-06-14,7446.75,,Loan Loss Expense to Provision for Loan Losses,Provisioning
172,2025-06-14,,7446.75,Loan Loss Expense to Provision for Loan Losses,Provisioning
173,2025-06-04,5724.47,,Cash on Hand to Customer Deposit Account,CustomerTransaction
174,2025-06-04,,5724.47,Cash on Hand to Customer Deposit Account,CustomerTransaction
175,2025-06-07,9523.66,,Customer Account to Advisory Fee Income,FeeIncome
176,2025-06-07,,9523.66,Customer Account to Advisory Fee Income,FeeIncome
177,2025-06-04,6292.36,,Interest Receivable to Interest Income,InterestAccrual
178,2025-06-04,,6292.36,Interest Receivable to Interest Income,InterestAccrual
179,2025-06-14,9419.48,,Cash on Hand to Customer Deposit Account,CustomerTransaction
180,2025-06-14,,9419.48,Cash on Hand to Customer Deposit Account,CustomerTransaction
181,2025-06-11,2860.27,,Customer Account to Advisory Fee Income,FeeIncome
182,2025-06-11,,2860.27,Customer Account to Advisory Fee Income,FeeIncome
183,2025-06-02,16884.52,,Customer Account to Advisory Fee Income,FeeIncome
184,2025-06-02,,16884.52,Customer Account to Advisory Fee Income,FeeIncome
185,2025-06-08,4159.91,,Interest Receivable to Interest Income,InterestAccrual
186,2025-06-08,,4159.91,Interest Receivable to Interest Income,InterestAccrual
187,2025-06-07,5061.2,,Trading Securities to Settlement Payable,SecuritiesTrading
188,2025-06-07,,5061.2,Trading Securities to Settlement Payable,SecuritiesTrading
189,2025-06-01,4128.11,,Cash on Hand to Customer Deposit Account,CustomerTransaction
190,2025-06-01,,4128.11,Cash on Hand to Customer Deposit Account,CustomerTransaction
191,2025-06-13,6038.86,,Trading Securities to Settlement Payable,SecuritiesTrading
192,2025-06-13,,6038.86,Trading Securities to Settlement Payable,SecuritiesTrading
193,2025-06-12,6419.74,,Trading Securities to Settlement Payable,SecuritiesTrading
194,2025-06-12,,6419.74,Trading Securities to Settlement Payable,SecuritiesTrading
195,2025-06-09,19913.03,,Loan Loss Expense to Provision for Loan Losses,Provisioning
196,2025-06-09,,19913.03,Loan Loss Expense to Provision for Loan Losses,Provisioning
197,2025-06-03,14649.76,,Loan Loss Expense to Provision for Loan Losses,Provisioning
198,2025-06-03,,14649.76,Loan Loss Expense to Provision for Loan Losses,Provisioning
199,2025-06-01,6637.45,,Interest Receivable to Interest Income,InterestAccrual
200,2025-06-01,,6637.45,Interest Receivable to Interest Income,InterestAccrual
201,2025-06-01,14979.01,,Customer Account to Advisory Fee Income,FeeIncome
202,2025-06-01,,14979.01,Customer Account to Advisory Fee Income,FeeIncome
203,2025-06-01,6958.49,,Loan Loss Expense to Provision for Loan Losses,Provisioning
204,2025-06-01,,6958.49,Loan Loss Expense to Provision for Loan Losses,Provisioning
205,2025-06-15,10058.98,,Customer Account to Advisory Fee Income,FeeIncome
206,2025-06-15,,10058.98,Customer Account to Advisory Fee Income,FeeIncome
207,2025-06-09,3991.22,,Customer Account to Advisory Fee Income,FeeIncome
208,2025-06-09,,3991.22,Customer Account to Advisory Fee Income,FeeIncome
209,2025-06-02,17175.51,,Cash on Hand to Customer Deposit Account,CustomerTransaction
210,2025-06-02,,17175.51,Cash on Hand to Customer Deposit Account,CustomerTransaction
211,2025-06-14,2291.26,,Customer Account to Advisory Fee Income,FeeIncome
212,2025-06-14,,2291.26,Customer Account to Advisory Fee Income,FeeIncome
213,2025-06-15,8671.74,,Interest Receivable to Interest Income,InterestAccrual
214,2025-06-15,,8671.74,Interest Receivable to Interest Income,InterestAccrual
215,2025-06-10,5678.09,,Customer Account to Advisory Fee Income,FeeIncome
216,2025-06-10,,5678.09,Customer Account to Advisory Fee Income,FeeIncome
217,2025-06-07,12768.25,,Cash on Hand to Customer Deposit Account,CustomerTransaction
218,2025-06-07,,12768.25,Cash on Hand to Customer Deposit Account,CustomerTransaction
219,2025-06-09,12089.77,,Loan Loss Expense to Provision for Loan Losses,Provisioning
220,2025-06-09,,12089.77,Loan Loss Expense to Provision for Loan Losses,Provisioning
221,2025-06-04,18759.42,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
222,2025-06-04,,18759.42,Credit Card Receivable to Customer Loan Account,PaymentProcessing
223,2025-06-04,14607.64,,Loan Loss Expense to Provision for Loan Losses,Provisioning
224,2025-06-04,,14607.64,Loan Loss Expense to Provision for Loan Losses,Provisioning
225,2025-06-11,8519.93,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
226,2025-06-11,,8519.93,Credit Card Receivable to Customer Loan Account,PaymentProcessing
227,2025-06-06,6699.94,,Loan Loss Expense to Provision for Loan Losses,Provisioning
228,2025-06-06,,6699.94,Loan Loss Expense to Provision for Loan Losses,Provisioning
229,2025-06-10,1176.99,,Cash on Hand to Customer Deposit Account,CustomerTransaction
230,2025-06-10,,1176.99,Cash on Hand to Customer Deposit Account,CustomerTransaction
231,2025-06-02,19925.83,,Customer Account to Advisory Fee Income,FeeIncome
232,2025-06-02,,19925.83,Customer Account to Advisory Fee Income,FeeIncome
233,2025-06-05,5049.93,,Customer Account to Advisory Fee Income,FeeIncome
234,2025-06-05,,5049.93,Customer Account to Advisory Fee Income,FeeIncome
235,2025-06-15,18731.93,,Interest Receivable to Interest Income,InterestAccrual
236,2025-06-15,,18731.93,Interest Receivable to Interest Income,InterestAccrual
237,2025-06-06,17706.13,,Cash on Hand to Customer Deposit Account,CustomerTransaction
238,2025-06-06,,17706.13,Cash on Hand to Customer Deposit Account,CustomerTransaction
239,2025-06-14,3997.19,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
240,2025-06-14,,3997.19,Credit Card Receivable to Customer Loan Account,PaymentProcessing
241,2025-06-10,14367.26,,Customer Account to Advisory Fee Income,FeeIncome
242,2025-06-10,,14367.26,Customer Account to Advisory Fee Income,FeeIncome
243,2025-06-11,11049.87,,Loan Loss Expense to Provision for Loan Losses,Provisioning
244,2025-06-11,,11049.87,Loan Loss Expense to Provision for Loan Losses,Provisioning
245,2025-06-11,6688.2,,Customer Account to Advisory Fee Income,FeeIncome
246,2025-06-11,,6688.2,Customer Account to Advisory Fee Income,FeeIncome
247,2025-06-03,18839.67,,Cash on Hand to Customer Deposit Account,CustomerTransaction
248,2025-06-03,,18839.67,Cash on Hand to Customer Deposit Account,CustomerTransaction
249,2025-06-02,3193.14,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
250,2025-06-02,,3193.14,Credit Card Receivable to Customer Loan Account,PaymentProcessing
251,2025-06-05,11511.25,,Loan Loss Expense to Provision for Loan Losses,Provisioning
252,2025-06-05,,11511.25,Loan Loss Expense to Provision for Loan Losses,Provisioning
253,2025-06-12,12491.77,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
254,2025-06-12,,12491.77,Credit Card Receivable to Customer Loan Account,PaymentProcessing
255,2025-06-11,4868.35,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
256,2025-06-11,,4868.35,Credit Card Receivable to Customer Loan Account,PaymentProcessing
257,2025-06-05,10602.77,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
258,2025-06-05,,10602.77,Credit Card Receivable to Customer Loan Account,PaymentProcessing
259,2025-06-07,2753.67,,Cash on Hand to Customer Deposit Account,CustomerTransaction
260,2025-06-07,,2753.67,Cash on Hand to Customer Deposit Account,CustomerTransaction
261,2025-06-06,1837.65,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
262,2025-06-06,,1837.65,Credit Card Receivable to Customer Loan Account,PaymentProcessing
263,2025-06-05,13105.15,,Interest Receivable to Interest Income,InterestAccrual
264,2025-06-05,,13105.15,Interest Receivable to Interest Income,InterestAccrual
265,2025-06-09,15083.39,,Interest Receivable to Interest Income,InterestAccrual
266,2025-06-09,,15083.39,Interest Receivable to Interest Income,InterestAccrual
267,2025-06-01,9126.05,,Loan Loss Expense to Provision for Loan Losses,Provisioning
268,2025-06-01,,9126.05,Loan Loss Expense to Provision for Loan Losses,Provisioning
269,2025-06-15,2429.63,,Cash on Hand to Customer Deposit Account,CustomerTransaction
270,2025-06-15,,2429.63,Cash on Hand to Customer Deposit Account,CustomerTransaction
271,2025-06-09,18174.64,,Loan Loss Expense to Provision for Loan Losses,Provisioning
272,2025-06-09,,18174.64,Loan Loss Expense to Provision for Loan Losses,Provisioning
273,2025-06-10,16857.31,,Cash on Hand to Customer Deposit Account,CustomerTransaction
274,2025-06-10,,16857.31,Cash on Hand to Customer Deposit Account,CustomerTransaction
275,2025-06-03,3813.78,,Customer Account to Advisory Fee Income,FeeIncome
276,2025-06-03,,3813.78,Customer Account to Advisory Fee Income,FeeIncome
277,2025-06-15,6856.91,,Cash on Hand to Customer Deposit Account,CustomerTransaction
278,2025-06-15,,6856.91,Cash on Hand to Customer Deposit Account,CustomerTransaction
279,2025-06-04,18079.57,,Cash on Hand to Customer Deposit Account,CustomerTransaction
280,2025-06-04,,18079.57,Cash on Hand to Customer Deposit Account,CustomerTransaction
281,2025-06-02,5741.07,,Loan Loss Expense to Provision for Loan Losses,Provisioning
282,2025-06-02,,5741.07,Loan Loss Expense to Provision for Loan Losses,Provisioning
283,2025-06-15,15822.21,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
284,2025-06-15,,15822.21,Credit Card Receivable to Customer Loan Account,PaymentProcessing
285,2025-06-12,19502.9,,Trading Securities to Settlement Payable,SecuritiesTrading
286,2025-06-12,,19502.9,Trading Securities to Settlement Payable,SecuritiesTrading
287,2025-06-04,18589.51,,Interest Receivable to Interest Income,InterestAccrual
288,2025-06-04,,18589.51,Interest Receivable to Interest Income,InterestAccrual
289,2025-06-13,19547.91,,Interest Receivable to Interest Income,InterestAccrual
290,2025-06-13,,19547.91,Interest Receivable to Interest Income,InterestAccrual
291,2025-06-01,17746.91,,Interest Receivable to Interest Income,InterestAccrual
292,2025-06-01,,17746.91,Interest Receivable to Interest Income,InterestAccrual
293,2025-06-06,14994.72,,Interest Receivable to Interest Income,InterestAccrual
294,2025-06-06,,14994.72,Interest Receivable to Interest Income,InterestAccrual
295,2025-06-14,16242.47,,Trading Securities to Settlement Payable,SecuritiesTrading
296,2025-06-14,,16242.47,Trading Securities to Settlement Payable,SecuritiesTrading
297,2025-06-05,16404.24,,Loan Loss Expense to Provision for Loan Losses,Provisioning
298,2025-06-05,,16404.24,Loan Loss Expense to Provision for Loan Losses,Provisioning
299,2025-06-02,15960.12,,Interest Receivable to Interest Income,InterestAccrual
300,2025-06-02,,15960.12,Interest Receivable to Interest Income,InterestAccrual
301,2025-06-14,17571.17,,Trading Securities to Settlement Payable,SecuritiesTrading
302,2025-06-14,,17571.17,Trading Securities to Settlement Payable,SecuritiesTrading
303,2025-06-14,5226.24,,Trading Securities to Settlement Payable,SecuritiesTrading
304,2025-06-14,,5226.24,Trading Securities to Settlement Payable,SecuritiesTrading
305,2025-06-14,7643.51,,Trading Securities to Settlement Payable,SecuritiesTrading
306,2025-06-14,,7643.51,Trading Securities to Settlement Payable,SecuritiesTrading
307,2025-06-11,5235.55,,Interest Receivable to Interest Income,InterestAccrual
308,2025-06-11,,5235.55,Interest Receivable to Interest Income,InterestAccrual
309,2025-06-05,8570.85,,Interest Receivable to Interest Income,InterestAccrual
310,2025-06-05,,8570.85,Interest Receivable to Interest Income,InterestAccrual
311,2025-06-05,19370.89,,Cash on Hand to Customer Deposit Account,CustomerTransaction
312,2025-06-05,,19370.89,Cash on Hand to Customer Deposit Account,CustomerTransaction
313,2025-06-07,13188.15,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
314,2025-06-07,,13188.15,Credit Card Receivable to Customer Loan Account,PaymentProcessing
315,2025-06-09,19641.84,,Loan Loss Expense to Provision for Loan Losses,Provisioning
316,2025-06-09,,19641.84,Loan Loss Expense to Provision for Loan Losses,Provisioning
317,2025-06-02,18845.51,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
318,2025-06-02,,18845.51,Credit Card Receivable to Customer Loan Account,PaymentProcessing
319,2025-06-05,4392.79,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
320,2025-06-05,,4392.79,Credit Card Receivable to Customer Loan Account,PaymentProcessing
321,2025-06-07,3059.65,,Cash on Hand to Customer Deposit Account,CustomerTransaction
322,2025-06-07,,3059.65,Cash on Hand to Customer Deposit Account,CustomerTransaction
323,2025-06-06,14842.36,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
324,2025-06-06,,14842.36,Credit Card Receivable to Customer Loan Account,PaymentProcessing
325,2025-06-09,12517.97,,Trading Securities to Settlement Payable,SecuritiesTrading
326,2025-06-09,,12517.97,Trading Securities to Settlement Payable,SecuritiesTrading
327,2025-06-10,8318.71,,Cash on Hand to Customer Deposit Account,CustomerTransaction
328,2025-06-10,,8318.71,Cash on Hand to Customer Deposit Account,CustomerTransaction
329,2025-06-12,5839.73,,Interest Receivable to Interest Income,InterestAccrual
330,2025-06-12,,5839.73,Interest Receivable to Interest Income,InterestAccrual
331,2025-06-15,1032.13,,Trading Securities to Settlement Payable,SecuritiesTrading
332,2025-06-15,,1032.13,Trading Securities to Settlement Payable,SecuritiesTrading
333,2025-06-12,14050.29,,Customer Account to Advisory Fee Income,FeeIncome
334,2025-06-12,,14050.29,Customer Account to Advisory Fee Income,FeeIncome
335,2025-06-06,13741.94,,Loan Loss Expense to Provision for Loan Losses,Provisioning
336,2025-06-06,,13741.94,Loan Loss Expense to Provision for Loan Losses,Provisioning
337,2025-06-11,2329.5,,Trading Securities to Settlement Payable,SecuritiesTrading
338,2025-06-11,,2329.5,Trading Securities to Settlement Payable,SecuritiesTrading
339,2025-06-11,12839.95,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
340,2025-06-11,,12839.95,Credit Card Receivable to Customer Loan Account,PaymentProcessing
341,2025-06-05,14675.33,,Cash on Hand to Customer Deposit Account,CustomerTransaction
342,2025-06-05,,14675.33,Cash on Hand to Customer Deposit Account,CustomerTransaction
343,2025-06-07,6876.41,,Customer Account to Advisory Fee Income,FeeIncome
344,2025-06-07,,6876.41,Customer Account to Advisory Fee Income,FeeIncome
345,2025-06-05,8645.61,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
