entry_id,entry_date,account_name,account_code,debit,credit,description,entry_type
94,2025-06-09,Advisory Fee Income,4200,,5776.87,Customer Account to Advisory Fee Income,FeeIncome
95,2025-06-02,Cash on Hand,1010,13925.38,,Cash on Hand to Customer Deposit Account,CustomerTransaction
96,2025-06-02,Customer Deposit Account,2100,,13925.38,Cash on Hand to Customer Deposit Account,CustomerTransaction
97,2025-06-13,Loan Loss Expense,5100,17810.98,,Loan Loss Expense to Provision for Loan Losses,Provisioning
98,2025-06-13,Provision for Loan Losses,2600,,17810.98,Loan Loss Expense to Provision for Loan Losses,Provisioning
99,2025-06-06,Credit Card Receivable,1320,15603.38,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
100,2025-06-06,Customer Loan Account,2200,,15603.38,Credit Card Receivable to Customer Loan Account,PaymentProcessing
101,2025-06-03,Cash on Hand,1010,6576.5,,Cash on Hand to Customer Deposit Account,CustomerTransaction
102,2025-06-03,Customer Deposit Account,2100,,6576.5,Cash on Hand to Customer Deposit Account,CustomerTransaction
103,2025-06-12,Trading Securities,1400,1061.66,,Trading Securities to Settlement Payable,SecuritiesTrading
104,2025-06-12,Settlement Payable,2400,,1061.66,Trading Securities to Settlement Payable,SecuritiesTrading
105,2025-06-09,Loan Loss Expense,5100,6004.39,,Loan Loss Expense to Provision for Loan Losses,Provisioning
106,2025-06-09,Provision for Loan Losses,2600,,6004.39,Loan Loss Expense to Provision for Loan Losses,Provisioning
107,2025-06-02,Interest Receivable,1310,10645.95,,Interest Receivable to Interest Income,InterestAccrual
108,2025-06-02,Interest Income,4100,,10645.95,Interest Receivable to Interest Income,InterestAccrual
109,2025-06-11,Loan Loss Expense,5100,6670.45,,Loan Loss Expense to Provision for Loan Losses,Provisioning
110,2025-06-11,Provision for Loan Losses,2600,,6670.45,Loan Loss Expense to Provision for Loan Losses,Provisioning
111,2025-06-03,Customer Account,2100,12570.43,,Customer Account to Advisory Fee Income,FeeIncome
112,2025-06-03,Advisory Fee Income,4200,,12570.43,Customer Account to Advisory Fee Income,FeeIncome
113,2025-06-09,Credit Card Receivable,1320,15487.71,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
114,2025-06-09,Customer Loan Account,2200,,15487.71,Credit Card Receivable to Customer Loan Account,PaymentProcessing
115,2025-06-10,Customer Account,2100,18451.38,,Customer Account to Advisory Fee Income,FeeIncome
116,2025-06-10,Advisory Fee Income,4200,,18451.38,Customer Account to Advisory Fee Income,FeeIncome
117,2025-06-02,Credit Card Receivable,1320,10283.51,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
118,2025-06-02,Customer Loan Account,2200,,10283.51,Credit Card Receivable to Customer Loan Account,PaymentProcessing
119,2025-06-14,Credit Card Receivable,1320,17695.72,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
120,2025-06-14,Customer Loan Account,2200,,17695.72,Credit Card Receivable to Customer Loan Account,PaymentProcessing
121,2025-06-04,Credit Card Receivable,1320,5549.59,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
122,2025-06-04,Customer Loan Account,2200,,5549.59,Credit Card Receivable to Customer Loan Account,PaymentProcessing
123,2025-06-02,Customer Account,2100,18992.04,,Customer Account to Advisory Fee Income,FeeIncome
124,2025-06-02,Advisory Fee Income,4200,,18992.04,Customer Account to Advisory Fee Income,FeeIncome
125,2025-06-02,Loan Loss Expense,5100,10233.82,,Loan Loss Expense to Provision for Loan Losses,Provisioning
126,2025-06-02,Provision for Loan Losses,2600,,10233.82,Loan Loss Expense to Provision for Loan Losses,Provisioning
127,2025-06-03,Customer Account,2100,15550.85,,Customer Account to Advisory Fee Income,FeeIncome
128,2025-06-03,Advisory Fee Income,4200,,15550.85,Customer Account to Advisory Fee Income,FeeIncome
129,2025-06-09,Loan Loss Expense,5100,10030.37,,Loan Loss Expense to Provision for Loan Losses,Provisioning
130,2025-06-09,Provision for Loan Losses,2600,,10030.37,Loan Loss Expense to Provision for Loan Losses,Provisioning
131,2025-06-14,Interest Receivable,1310,6036.08,,Interest Receivable to Interest Income,InterestAccrual
132,2025-06-14,Interest Income,4100,,6036.08,Interest Receivable to Interest Income,InterestAccrual
133,2025-06-04,Customer Account,2100,9039.62,,Customer Account to Advisory Fee Income,FeeIncome
134,2025-06-04,Advisory Fee Income,4200,,9039.62,Customer Account to Advisory Fee Income,FeeIncome
135,2025-06-12,Customer Account,2100,15350.04,,Customer Account to Advisory Fee Income,FeeIncome
136,2025-06-12,Advisory Fee Income,4200,,15350.04,Customer Account to Advisory Fee Income,FeeIncome
137,2025-06-07,Interest Receivable,1310,14546.03,,Interest Receivable to Interest Income,InterestAccrual
138,2025-06-07,Interest Income,4100,,14546.03,Interest Receivable to Interest Income,InterestAccrual
139,2025-06-08,Loan Loss Expense,5100,13347.68,,Loan Loss Expense to Provision for Loan Losses,Provisioning
140,2025-06-08,Provision for Loan Losses,2600,,13347.68,Loan Loss Expense to Provision for Loan Losses,Provisioning
141,2025-06-04,Customer Account,2100,9578.24,,Customer Account to Advisory Fee Income,FeeIncome
142,2025-06-04,Advisory Fee Income,4200,,9578.24,Customer Account to Advisory Fee Income,FeeIncome
143,2025-06-01,Interest Receivable,1310,2216.49,,Interest Receivable to Interest Income,InterestAccrual
144,2025-06-01,Interest Income,4100,,2216.49,Interest Receivable to Interest Income,InterestAccrual
145,2025-06-10,Customer Account,2100,11524.51,,Customer Account to Advisory Fee Income,FeeIncome
146,2025-06-10,Advisory Fee Income,4200,,11524.51,Customer Account to Advisory Fee Income,FeeIncome
147,2025-06-12,Interest Receivable,1310,1136.63,,Interest Receivable to Interest Income,InterestAccrual
148,2025-06-12,Interest Income,4100,,1136.63,Interest Receivable to Interest Income,InterestAccrual
149,2025-06-02,Loan Loss Expense,5100,2118.6,,Loan Loss Expense to Provision for Loan Losses,Provisioning
150,2025-06-02,Provision for Loan Losses,2600,,2118.6,Loan Loss Expense to Provision for Loan Losses,Provisioning
151,2025-06-02,Cash on Hand,1010,17333.07,,Cash on Hand to Customer Deposit Account,CustomerTransaction
152,2025-06-02,Customer Deposit Account,2100,,17333.07,Cash on Hand to Customer Deposit Account,CustomerTransaction
153,2025-06-11,Customer Account,2100,5522.09,,Customer Account to Advisory Fee Income,FeeIncome
154,2025-06-11,Advisory Fee Income,4200,,5522.09,Customer Account to Advisory Fee Income,FeeIncome
155,2025-06-03,Trading Securities,1400,5070.5,,Trading Securities to Settlement Payable,SecuritiesTrading
156,2025-06-03,Settlement Payable,2400,,5070.5,Trading Securities to Settlement Payable,SecuritiesTrading
157,2025-06-10,Loan Loss Expense,5100,18774.77,,Loan Loss Expense to Provision for Loan Losses,Provisioning
158,2025-06-10,Provision for Loan Losses,2600,,18774.77,Loan Loss Expense to Provision for Loan Losses,Provisioning
159,2025-06-13,Customer Account,2100,9980.75,,Customer Account to Advisory Fee Income,FeeIncome
160,2025-06-13,Advisory Fee Income,4200,,9980.75,Customer Account to Advisory Fee Income,FeeIncome
161,2025-06-04,Trading Securities,1400,16342.44,,Trading Securities to Settlement Payable,SecuritiesTrading
162,2025-06-04,Settlement Payable,2400,,16342.44,Trading Securities to Settlement Payable,SecuritiesTrading
163,2025-06-07,Cash on Hand,1010,2841.69,,Cash on Hand to Customer Deposit Account,CustomerTransaction
164,2025-06-07,Customer Deposit Account,2100,,2841.69,Cash on Hand to Customer Deposit Account,CustomerTransaction
165,2025-06-08,Credit Card Receivable,1320,9047.99,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
166,2025-06-08,Customer Loan Account,2200,,9047.99,Credit Card Receivable to Customer Loan Account,PaymentProcessing
167,2025-06-11,Loan Loss Expense,5100,2029.25,,Loan Loss Expense to Provision for Loan Losses,Provisioning
168,2025-06-11,Provision for Loan Losses,2600,,2029.25,Loan Loss Expense to Provision for Loan Losses,Provisioning
169,2025-06-07,Loan Loss Expense,5100,2869.94,,Loan Loss Expense to Provision for Loan Losses,Provisioning
170,2025-06-07,Provision for Loan Losses,2600,,2869.94,Loan Loss Expense to Provision for Loan Losses,Provisioning
171,2025-06-14,Loan Loss Expense,5100,7446.75,,Loan Loss Expense to Provision for Loan Losses,Provisioning
172,2025-06-14,Provision for Loan Losses,2600,,7446.75,Loan Loss Expense to Provision for Loan Losses,Provisioning
173,2025-06-04,Cash on Hand,1010,5724.47,,Cash on Hand to Customer Deposit Account,CustomerTransaction
174,2025-06-04,Customer Deposit Account,2100,,5724.47,Cash on Hand to Customer Deposit Account,CustomerTransaction
175,2025-06-07,Customer Account,2100,9523.66,,Customer Account to Advisory Fee Income,FeeIncome
176,2025-06-07,Advisory Fee Income,4200,,9523.66,Customer Account to Advisory Fee Income,FeeIncome
177,2025-06-04,Interest Receivable,1310,6292.36,,Interest Receivable to Interest Income,InterestAccrual
178,2025-06-04,Interest Income,4100,,6292.36,Interest Receivable to Interest Income,InterestAccrual
179,2025-06-14,Cash on Hand,1010,9419.48,,Cash on Hand to Customer Deposit Account,CustomerTransaction
180,2025-06-14,Customer Deposit Account,2100,,9419.48,Cash on Hand to Customer Deposit Account,CustomerTransaction
181,2025-06-11,Customer Account,2100,2860.27,,Customer Account to Advisory Fee Income,FeeIncome
182,2025-06-11,Advisory Fee Income,4200,,2860.27,Customer Account to Advisory Fee Income,FeeIncome
183,2025-06-02,Customer Account,2100,16884.52,,Customer Account to Advisory Fee Income,FeeIncome
184,2025-06-02,Advisory Fee Income,4200,,16884.52,Customer Account to Advisory Fee Income,FeeIncome
185,2025-06-08,Interest Receivable,1310,4159.91,,Interest Receivable to Interest Income,InterestAccrual
186,2025-06-08,Interest Income,4100,,4159.91,Interest Receivable to Interest Income,InterestAccrual
187,2025-06-07,Trading Securities,1400,5061.2,,Trading Securities to Settlement Payable,SecuritiesTrading
188,2025-06-07,Settlement Payable,2400,,5061.2,Trading Securities to Settlement Payable,SecuritiesTrading
189,2025-06-01,Cash on Hand,1010,4128.11,,Cash on Hand to Customer Deposit Account,CustomerTransaction
190,2025-06-01,Customer Deposit Account,2100,,4128.11,Cash on Hand to Customer Deposit Account,CustomerTransaction
191,2025-06-13,Trading Securities,1400,6038.86,,Trading Securities to Settlement Payable,SecuritiesTrading
192,2025-06-13,Settlement Payable,2400,,6038.86,Trading Securities to Settlement Payable,SecuritiesTrading
193,2025-06-12,Trading Securities,1400,6419.74,,Trading Securities to Settlement Payable,SecuritiesTrading
194,2025-06-12,Settlement Payable,2400,,6419.74,Trading Securities to Settlement Payable,SecuritiesTrading
195,2025-06-09,Loan Loss Expense,5100,19913.03,,Loan Loss Expense to Provision for Loan Losses,Provisioning
196,2025-06-09,Provision for Loan Losses,2600,,19913.03,Loan Loss Expense to Provision for Loan Losses,Provisioning
197,2025-06-03,Loan Loss Expense,5100,14649.76,,Loan Loss Expense to Provision for Loan Losses,Provisioning
198,2025-06-03,Provision for Loan Losses,2600,,14649.76,Loan Loss Expense to Provision for Loan Losses,Provisioning
199,2025-06-01,Interest Receivable,1310,6637.45,,Interest Receivable to Interest Income,InterestAccrual
200,2025-06-01,Interest Income,4100,,6637.45,Interest Receivable to Interest Income,InterestAccrual
201,2025-06-01,Customer Account,2100,14979.01,,Customer Account to Advisory Fee Income,FeeIncome
202,2025-06-01,Advisory Fee Income,4200,,14979.01,Customer Account to Advisory Fee Income,FeeIncome
203,2025-06-01,Loan Loss Expense,5100,6958.49,,Loan Loss Expense to Provision for Loan Losses,Provisioning
204,2025-06-01,Provision for Loan Losses,2600,,6958.49,Loan Loss Expense to Provision for Loan Losses,Provisioning
205,2025-06-15,Customer Account,2100,10058.98,,Customer Account to Advisory Fee Income,FeeIncome
206,2025-06-15,Advisory Fee Income,4200,,10058.98,Customer Account to Advisory Fee Income,FeeIncome
207,2025-06-09,Customer Account,2100,3991.22,,Customer Account to Advisory Fee Income,FeeIncome
208,2025-06-09,Advisory Fee Income,4200,,3991.22,Customer Account to Advisory Fee Income,FeeIncome
209,2025-06-02,Cash on Hand,1010,17175.51,,Cash on Hand to Customer Deposit Account,CustomerTransaction
210,2025-06-02,Customer Deposit Account,2100,,17175.51,Cash on Hand to Customer Deposit Account,CustomerTransaction
211,2025-06-14,Customer Account,2100,2291.26,,Customer Account to Advisory Fee Income,FeeIncome
212,2025-06-14,Advisory Fee Income,4200,,2291.26,Customer Account to Advisory Fee Income,FeeIncome
213,2025-06-15,Interest Receivable,1310,8671.74,,Interest Receivable to Interest Income,InterestAccrual
214,2025-06-15,Interest Income,4100,,8671.74,Interest Receivable to Interest Income,InterestAccrual
215,2025-06-10,Customer Account,2100,5678.09,,Customer Account to Advisory Fee Income,FeeIncome
216,2025-06-10,Advisory Fee Income,4200,,5678.09,Customer Account to Advisory Fee Income,FeeIncome
217,2025-06-07,Cash on Hand,1010,12768.25,,Cash on Hand to Customer Deposit Account,CustomerTransaction
218,2025-06-07,Customer Deposit Account,2100,,12768.25,Cash on Hand to Customer Deposit Account,CustomerTransaction
219,2025-06-09,Loan Loss Expense,5100,12089.77,,Loan Loss Expense to Provision for Loan Losses,Provisioning
220,2025-06-09,Provision for Loan Losses,2600,,12089.77,Loan Loss Expense to Provision for Loan Losses,Provisioning
221,2025-06-04,Credit Card Receivable,1320,18759.42,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
222,2025-06-04,Customer Loan Account,2200,,18759.42,Credit Card Receivable to Customer Loan Account,PaymentProcessing
223,2025-06-04,Loan Loss Expense,5100,14607.64,,Loan Loss Expense to Provision for Loan Losses,Provisioning
224,2025-06-04,Provision for Loan Losses,2600,,14607.64,Loan Loss Expense to Provision for Loan Losses,Provisioning
225,2025-06-11,Credit Card Receivable,1320,8519.93,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
226,2025-06-11,Customer Loan Account,2200,,8519.93,Credit Card Receivable to Customer Loan Account,PaymentProcessing
227,2025-06-06,Loan Loss Expense,5100,6699.94,,Loan Loss Expense to Provision for Loan Losses,Provisioning
228,2025-06-06,Provision for Loan Losses,2600,,6699.94,Loan Loss Expense to Provision for Loan Losses,Provisioning
229,2025-06-10,Cash on Hand,1010,1176.99,,Cash on Hand to Customer Deposit Account,CustomerTransaction
230,2025-06-10,Customer Deposit Account,2100,,1176.99,Cash on Hand to Customer Deposit Account,CustomerTransaction
231,2025-06-02,Customer Account,2100,19925.83,,Customer Account to Advisory Fee Income,FeeIncome
232,2025-06-02,Advisory Fee Income,4200,,19925.83,Customer Account to Advisory Fee Income,FeeIncome
233,2025-06-05,Customer Account,2100,5049.93,,Customer Account to Advisory Fee Income,FeeIncome
234,2025-06-05,Advisory Fee Income,4200,,5049.93,Customer Account to Advisory Fee Income,FeeIncome
235,2025-06-15,Interest Receivable,1310,18731.93,,Interest Receivable to Interest Income,InterestAccrual
236,2025-06-15,Interest Income,4100,,18731.93,Interest Receivable to Interest Income,InterestAccrual
237,2025-06-06,Cash on Hand,1010,17706.13,,Cash on Hand to Customer Deposit Account,CustomerTransaction
238,2025-06-06,Customer Deposit Account,2100,,17706.13,Cash on Hand to Customer Deposit Account,CustomerTransaction
239,2025-06-14,Credit Card Receivable,1320,3997.19,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
240,2025-06-14,Customer Loan Account,2200,,3997.19,Credit Card Receivable to Customer Loan Account,PaymentProcessing
241,2025-06-10,Customer Account,2100,14367.26,,Customer Account to Advisory Fee Income,FeeIncome
242,2025-06-10,Advisory Fee Income,4200,,14367.26,Customer Account to Advisory Fee Income,FeeIncome
243,2025-06-11,Loan Loss Expense,5100,11049.87,,Loan Loss Expense to Provision for Loan Losses,Provisioning
244,2025-06-11,Provision for Loan Losses,2600,,11049.87,Loan Loss Expense to Provision for Loan Losses,Provisioning
245,2025-06-11,Customer Account,2100,6688.2,,Customer Account to Advisory Fee Income,FeeIncome
246,2025-06-11,Advisory Fee Income,4200,,6688.2,Customer Account to Advisory Fee Income,FeeIncome
247,2025-06-03,Cash on Hand,1010,18839.67,,Cash on Hand to Customer Deposit Account,CustomerTransaction
248,2025-06-03,Customer Deposit Account,2100,,18839.67,Cash on Hand to Customer Deposit Account,CustomerTransaction
249,2025-06-02,Credit Card Receivable,1320,3193.14,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
250,2025-06-02,Customer Loan Account,2200,,3193.14,Credit Card Receivable to Customer Loan Account,PaymentProcessing
251,2025-06-05,Loan Loss Expense,5100,11511.25,,Loan Loss Expense to Provision for Loan Losses,Provisioning
252,2025-06-05,Provision for Loan Losses,2600,,11511.25,Loan Loss Expense to Provision for Loan Losses,Provisioning
253,2025-06-12,Credit Card Receivable,1320,12491.77,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
254,2025-06-12,Customer Loan Account,2200,,12491.77,Credit Card Receivable to Customer Loan Account,PaymentProcessing
255,2025-06-11,Credit Card Receivable,1320,4868.35,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
256,2025-06-11,Customer Loan Account,2200,,4868.35,Credit Card Receivable to Customer Loan Account,PaymentProcessing
257,2025-06-05,Credit Card Receivable,1320,10602.77,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
258,2025-06-05,Customer Loan Account,2200,,10602.77,Credit Card Receivable to Customer Loan Account,PaymentProcessing
259,2025-06-07,Cash on Hand,1010,2753.67,,Cash on Hand to Customer Deposit Account,CustomerTransaction
260,2025-06-07,Customer Deposit Account,2100,,2753.67,Cash on Hand to Customer Deposit Account,CustomerTransaction
261,2025-06-06,Credit Card Receivable,1320,1837.65,,Credit Card Receivable to Customer Loan Account,PaymentProcessing
262,2025-06-06,Customer Loan Account,2200,,1837.65,Credit Card Receivable to Customer Loan Account,PaymentProcessing
263,2025-06-05,Interest Receivable,1310,13105.15,,Interest Receivable to Interest Income,InterestAccrual
264,2025-06-05,Interest Income,4100,,13105.15,Interest Receivable to Interest Income,InterestAccrual
265,2025-06-09,Interest Receivable,1310,15083.39,,Interest Receivable to Interest Income,InterestAccrual
266,2025-06-09,Interest Income,4100,,15083.39,Interest Receivable to Interest Income,InterestAccrual
